Samples,hexokinase,G6P_isomerase,PFK,aldolase,GAPDH,PGK,PGM,enolase,pyr_kinase,LDH,pyr_carboxylase,pep_carboxykinase,pyr_dehydrogenase,cit_synthase,aconitase,IDH2_nadp,IDH2_nad,AKG_dehydrogenase,SuCoA_synthase,Succ_dehydrogenase,fumarase,malate_dehydrogenase,malic_enzyme_NADP,malic_enzyme_NAD,ASPTA,ALATA_L,GLUDxm,GLUDym,Cit_lyase,FFAsynthesis,glutaminase,gln_synthetase,CPS1,OTC,ASS,ASL,ARG1,ORNTArm,G5SADrm,P5CRm,P5CRxm,ORNDC,ATP_ADP,G6P_dehydrogenase,gluconolactonase,6PDG_dehydrogenase,Ru5P_isomerase,PRPPS,SHMT1,MTHFD1,ser_synthesis,RESP1,RESP2,Hcys_synthesis,CYSTS,CYSTGL,GLUCYS,GTHS,GTHP,GTHO,glutamyltrasferase,asparagine_synthetase,CYSTA,ASRGL1,CAD,SDS,GATM,EX_O2,EX_Gln,EX_Glc,EX_Arg,EX_THF,EX_Met,protein_synthesis,biomass_synthesis,DM_LACT,DM_H2O2,DM_NH3,DM_Urea,DM_PRPP,DM_biomass,DM_Putrescine,DM_forTHF,DM_GSSG,Total
1000,0.25263157894736843,0.5,0.5,0.5,0.5,0.5,0.7631578947368421,0.7631578947368421,0.6631578947368421,0.14210526315789473,0.7526315789473684,0.7368421052631579,0.5368421052631579,0.5368421052631579,0.8473684210526315,0.7684210526315789,0.7894736842105263,0.09473684210526316,0.09473684210526316,0.09473684210526316,0.19473684210526315,0.8578947368421053,0.7842105263157895,0.7315789473684211,0.6052631578947368,0.7631578947368421,0.7789473684210526,0.7526315789473684,0.7631578947368421,0.7631578947368421,0.5263157894736842,0.7157894736842105,0.7052631578947368,0.5947368421052631,0.5947368421052631,0.5947368421052631,0.5157894736842106,0.7631578947368421,0.7631578947368421,0.7736842105263158,0.8052631578947368,0.45789473684210524,0.8210526315789474,0.7421052631578947,0.7421052631578947,0.7421052631578947,0.7421052631578947,0.7421052631578947,0.5736842105263158,0.5736842105263158,0.5842105263157895,0.06842105263157895,0.09473684210526316,0.7210526315789474,0.7210526315789474,0.7210526315789474,0.4473684210526316,0.5842105263157895,0.4052631578947368,0.5105263157894737,0.5473684210526316,0.7894736842105263,0.6421052631578947,0.7842105263157895,0.6105263157894737,0.6473684210526316,0.6684210526315789,0.07894736842105263,0.14210526315789473,0.25263157894736843,0.4631578947368421,0.5736842105263158,0.7210526315789474,0.7631578947368421,0.7631578947368421,0.14210526315789473,0.5157894736842106,0.34210526315789475,0.5157894736842106,0.7421052631578947,0.7631578947368421,0.45789473684210524,0.5736842105263158,0.5842105263157895,0.5805137844611531
2000,0.1,0.14736842105263157,0.14736842105263157,0.14736842105263157,0.14736842105263157,0.14736842105263157,0.8210526315789474,0.8210526315789474,0.6421052631578947,0.021052631578947368,0.6,0.6894736842105263,0.6526315789473685,0.6526315789473685,0.8315789473684211,0.5789473684210527,0.5894736842105263,0.0,0.0,0.0,0.0,0.7842105263157895,0.7,0.6526315789473685,0.6105263157894737,0.3105263157894737,0.5526315789473685,0.6578947368421053,0.3105263157894737,0.3105263157894737,0.3368421052631579,0.6263157894736842,0.7105263157894737,0.6157894736842106,0.6157894736842106,0.6157894736842106,0.24736842105263157,0.3105263157894737,0.3105263157894737,0.3736842105263158,0.4421052631578947,0.33157894736842103,0.6842105263157895,0.6263157894736842,0.6263157894736842,0.6263157894736842,0.6263157894736842,0.6263157894736842,0.4052631578947368,0.4052631578947368,0.21052631578947367,0.0,0.0,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.37894736842105264,0.5052631578947369,0.19473684210526315,0.4263157894736842,0.4631578947368421,0.7105263157894737,0.5473684210526316,0.7105263157894737,0.6052631578947368,0.7157894736842105,0.7,0.0,0.0,0.1,0.33157894736842103,0.4052631578947368,0.7578947368421053,0.3105263157894737,0.3105263157894737,0.021052631578947368,0.531578947368421,0.0,0.24736842105263157,0.6263157894736842,0.3105263157894737,0.33157894736842103,0.4052631578947368,0.5052631578947369,0.4336466165413534
3000,0.010526315789473684,0.24210526315789474,0.24210526315789474,0.24210526315789474,0.24210526315789474,0.24210526315789474,0.8315789473684211,0.8315789473684211,0.5263157894736842,0.11578947368421053,0.4368421052631579,0.5263157894736842,0.6736842105263158,0.6736842105263158,0.8631578947368421,0.6789473684210526,0.6578947368421053,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.02631578947368421,0.7526315789473684,0.7,0.6052631578947368,0.4842105263157895,0.3894736842105263,0.631578947368421,0.6631578947368421,0.3894736842105263,0.3894736842105263,0.2,0.45263157894736844,0.5684210526315789,0.5210526315789473,0.5210526315789473,0.5210526315789473,0.17894736842105263,0.3894736842105263,0.3894736842105263,0.5421052631578948,0.4631578947368421,0.2789473684210526,0.631578947368421,0.6789473684210526,0.6789473684210526,0.6789473684210526,0.6789473684210526,0.6789473684210526,0.33157894736842103,0.33157894736842103,0.3526315789473684,0.0,0.005263157894736842,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.1631578947368421,0.3473684210526316,0.06315789473684211,0.21578947368421053,0.24736842105263157,0.5894736842105263,0.5157894736842106,0.5947368421052631,0.48947368421052634,0.6210526315789474,0.5578947368421052,0.0,0.0,0.010526315789473684,0.2736842105263158,0.33157894736842103,0.6105263157894737,0.3894736842105263,0.3894736842105263,0.11578947368421053,0.2578947368421053,0.03684210526315789,0.17894736842105263,0.6789473684210526,0.3894736842105263,0.2789473684210526,0.33157894736842103,0.3473684210526316,0.40494987468671667
4000,0.015789473684210527,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.8263157894736842,0.8263157894736842,0.5210526315789473,0.15263157894736842,0.3368421052631579,0.5631578947368421,0.5894736842105263,0.5894736842105263,0.8473684210526315,0.46842105263157896,0.49473684210526314,0.0,0.0,0.0,0.010526315789473684,0.6526315789473685,0.5526315789473685,0.4473684210526316,0.4368421052631579,0.42105263157894735,0.6052631578947368,0.6842105263157895,0.42105263157894735,0.42105263157894735,0.2894736842105263,0.5578947368421052,0.6736842105263158,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.21052631578947367,0.42105263157894735,0.42105263157894735,0.46842105263157896,0.4368421052631579,0.1631578947368421,0.4631578947368421,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.32105263157894737,0.32105263157894737,0.2736842105263158,0.0,0.0,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.17894736842105263,0.4052631578947368,0.07368421052631578,0.10526315789473684,0.22105263157894736,0.45789473684210524,0.3157894736842105,0.45789473684210524,0.5105263157894737,0.4,0.5684210526315789,0.0,0.0,0.015789473684210527,0.1631578947368421,0.32105263157894737,0.5894736842105263,0.42105263157894735,0.42105263157894735,0.15263157894736842,0.25263157894736843,0.08421052631578947,0.21052631578947367,0.6526315789473685,0.42105263157894735,0.1631578947368421,0.32105263157894737,0.4052631578947368,0.3676065162907266
5000,0.021052631578947368,0.08947368421052632,0.08947368421052632,0.08947368421052632,0.08947368421052632,0.08947368421052632,0.6578947368421053,0.6578947368421053,0.48947368421052634,0.15263157894736842,0.4631578947368421,0.5105263157894737,0.6210526315789474,0.6210526315789474,0.9210526315789473,0.531578947368421,0.5473684210526316,0.0,0.0,0.0,0.031578947368421054,0.6631578947368421,0.5947368421052631,0.6736842105263158,0.4263157894736842,0.4052631578947368,0.5263157894736842,0.5210526315789473,0.4052631578947368,0.4052631578947368,0.18947368421052632,0.4263157894736842,0.6105263157894737,0.4263157894736842,0.4263157894736842,0.4263157894736842,0.21052631578947367,0.4052631578947368,0.4052631578947368,0.5157894736842106,0.41578947368421054,0.24210526315789474,0.6105263157894737,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.32105263157894737,0.32105263157894737,0.24210526315789474,0.0,0.0,0.5947368421052631,0.5947368421052631,0.5947368421052631,0.15789473684210525,0.38421052631578945,0.05789473684210526,0.09473684210526316,0.23157894736842105,0.6105263157894737,0.45263157894736844,0.6105263157894737,0.48947368421052634,0.5263157894736842,0.5947368421052631,0.0,0.0,0.021052631578947368,0.23684210526315788,0.32105263157894737,0.5947368421052631,0.4052631578947368,0.4052631578947368,0.15263157894736842,0.22631578947368422,0.031578947368421054,0.21052631578947367,0.5473684210526316,0.4052631578947368,0.24210526315789474,0.32105263157894737,0.38421052631578945,0.3657894736842105
6000,0.0,0.06842105263157895,0.06842105263157895,0.06842105263157895,0.06842105263157895,0.06842105263157895,0.7210526315789474,0.7210526315789474,0.4631578947368421,0.005263157894736842,0.35789473684210527,0.4473684210526316,0.4263157894736842,0.4263157894736842,0.8157894736842105,0.47368421052631576,0.4842105263157895,0.0,0.0,0.0,0.0,0.6578947368421053,0.5947368421052631,0.4263157894736842,0.11578947368421053,0.3105263157894737,0.4842105263157895,0.5526315789473685,0.3105263157894737,0.3105263157894737,0.20526315789473684,0.47368421052631576,0.5,0.12631578947368421,0.12631578947368421,0.12631578947368421,0.06842105263157895,0.3105263157894737,0.3105263157894737,0.3368421052631579,0.3473684210526316,0.031578947368421054,0.5894736842105263,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.1631578947368421,0.1631578947368421,0.08947368421052632,0.0,0.0,0.4789473684210526,0.4789473684210526,0.4789473684210526,0.10526315789473684,0.1736842105263158,0.0,0.05263157894736842,0.1631578947368421,0.42105263157894735,0.20526315789473684,0.42105263157894735,0.33157894736842103,0.49473684210526314,0.4105263157894737,0.0,0.0,0.0,0.015789473684210527,0.1631578947368421,0.4789473684210526,0.3105263157894737,0.3105263157894737,0.005263157894736842,0.17894736842105263,0.0,0.06842105263157895,0.39473684210526316,0.3105263157894737,0.031578947368421054,0.1631578947368421,0.1736842105263158,0.26441102756892243
7000,0.0,0.015789473684210527,0.015789473684210527,0.015789473684210527,0.015789473684210527,0.015789473684210527,0.7473684210526316,0.7473684210526316,0.3526315789473684,0.015789473684210527,0.3894736842105263,0.3631578947368421,0.4105263157894737,0.4105263157894737,0.8736842105263158,0.23684210526315788,0.24736842105263157,0.0,0.0,0.0,0.0,0.6421052631578947,0.3263157894736842,0.49473684210526314,0.16842105263157894,0.3105263157894737,0.3157894736842105,0.4421052631578947,0.3105263157894737,0.3105263157894737,0.22105263157894736,0.4473684210526316,0.4473684210526316,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.15789473684210525,0.3105263157894737,0.3105263157894737,0.4,0.3157894736842105,0.10526315789473684,0.48947368421052634,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.2736842105263158,0.2736842105263158,0.10526315789473684,0.0,0.0,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.08421052631578947,0.1736842105263158,0.031578947368421054,0.11052631578947368,0.1631578947368421,0.39473684210526316,0.3157894736842105,0.4052631578947368,0.4473684210526316,0.531578947368421,0.5631578947368421,0.0,0.0,0.0,0.1,0.2736842105263158,0.4421052631578947,0.3105263157894737,0.3105263157894737,0.015789473684210527,0.12631578947368421,0.010526315789473684,0.15789473684210525,0.34210526315789475,0.3105263157894737,0.10526315789473684,0.2736842105263158,0.1736842105263158,0.25989974937343363
8000,0.0,0.0,0.0,0.0,0.0,0.0,0.7842105263157895,0.7842105263157895,0.43157894736842106,0.0,0.26842105263157895,0.4631578947368421,0.43157894736842106,0.43157894736842106,0.8368421052631579,0.4421052631578947,0.43157894736842106,0.0,0.0,0.0,0.0,0.6578947368421053,0.5210526315789473,0.30526315789473685,0.21052631578947367,0.30526315789473685,0.45263157894736844,0.26842105263157895,0.30526315789473685,0.30526315789473685,0.07894736842105263,0.34210526315789475,0.45263157894736844,0.22105263157894736,0.22105263157894736,0.22105263157894736,0.03684210526315789,0.30526315789473685,0.30526315789473685,0.32105263157894737,0.42105263157894735,0.031578947368421054,0.38421052631578945,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.08421052631578947,0.08421052631578947,0.19473684210526315,0.0,0.0,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.042105263157894736,0.031578947368421054,0.0,0.04736842105263158,0.07368421052631578,0.37894736842105264,0.18947368421052632,0.38421052631578945,0.2631578947368421,0.5421052631578948,0.32105263157894737,0.0,0.0,0.0,0.031578947368421054,0.08421052631578947,0.4421052631578947,0.30526315789473685,0.30526315789473685,0.0,0.03684210526315789,0.0,0.03684210526315789,0.28421052631578947,0.30526315789473685,0.031578947368421054,0.08421052631578947,0.031578947368421054,0.23026315789473678
9000,0.0,0.03684210526315789,0.03684210526315789,0.03684210526315789,0.03684210526315789,0.03684210526315789,0.6789473684210526,0.6789473684210526,0.3368421052631579,0.0,0.2736842105263158,0.4052631578947368,0.26842105263157895,0.26842105263157895,0.8263157894736842,0.38421052631578945,0.39473684210526316,0.0,0.0,0.0,0.0,0.6157894736842106,0.45789473684210524,0.42105263157894735,0.2894736842105263,0.1368421052631579,0.30526315789473685,0.21578947368421053,0.1368421052631579,0.1368421052631579,0.06842105263157895,0.22631578947368422,0.45789473684210524,0.29473684210526313,0.29473684210526313,0.29473684210526313,0.08947368421052632,0.1368421052631579,0.1368421052631579,0.17894736842105263,0.13157894736842105,0.03684210526315789,0.4842105263157895,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.10526315789473684,0.10526315789473684,0.005263157894736842,0.0,0.0,0.5105263157894737,0.5105263157894737,0.5105263157894737,0.05789473684210526,0.14210526315789473,0.015789473684210527,0.1368421052631579,0.1368421052631579,0.4052631578947368,0.3263157894736842,0.4105263157894737,0.5263157894736842,0.39473684210526316,0.4473684210526316,0.0,0.0,0.0,0.031578947368421054,0.10526315789473684,0.5105263157894737,0.1368421052631579,0.1368421052631579,0.0,0.07368421052631578,0.0,0.08947368421052632,0.3684210526315789,0.1368421052631579,0.03684210526315789,0.10526315789473684,0.14210526315789473,0.22274436090225558
10000,0.0,0.03684210526315789,0.03684210526315789,0.03684210526315789,0.03684210526315789,0.03684210526315789,0.6526315789473685,0.6526315789473685,0.33157894736842103,0.005263157894736842,0.17894736842105263,0.3684210526315789,0.3526315789473684,0.3526315789473684,0.8631578947368421,0.16842105263157894,0.18421052631578946,0.0,0.0,0.0,0.0,0.5736842105263158,0.22105263157894736,0.3526315789473684,0.19473684210526315,0.23157894736842105,0.5210526315789473,0.32105263157894737,0.23157894736842105,0.23157894736842105,0.08947368421052632,0.2789473684210526,0.3631578947368421,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.05263157894736842,0.23157894736842105,0.23157894736842105,0.2894736842105263,0.30526315789473685,0.031578947368421054,0.5736842105263158,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.031578947368421054,0.031578947368421054,0.04736842105263158,0.0,0.0,0.24210526315789474,0.24210526315789474,0.24210526315789474,0.015789473684210527,0.031578947368421054,0.0,0.010526315789473684,0.06842105263157895,0.39473684210526316,0.24210526315789474,0.4052631578947368,0.18947368421052632,0.4421052631578947,0.26842105263157895,0.0,0.0,0.0,0.02631578947368421,0.031578947368421054,0.24210526315789474,0.23157894736842105,0.23157894736842105,0.005263157894736842,0.010526315789473684,0.0,0.05263157894736842,0.4842105263157895,0.23157894736842105,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.20426065162907273
11000,0.0,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.7842105263157895,0.7842105263157895,0.4052631578947368,0.0,0.08421052631578947,0.3894736842105263,0.3,0.3,0.8473684210526315,0.16842105263157894,0.1736842105263158,0.0,0.0,0.0,0.0,0.5052631578947369,0.14736842105263157,0.24210526315789474,0.4368421052631579,0.21578947368421053,0.47368421052631576,0.3631578947368421,0.21578947368421053,0.21578947368421053,0.015789473684210527,0.18947368421052632,0.41578947368421054,0.45789473684210524,0.45789473684210524,0.45789473684210524,0.07368421052631578,0.21578947368421053,0.21578947368421053,0.30526315789473685,0.19473684210526315,0.0,0.5052631578947369,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.015789473684210527,0.015789473684210527,0.010526315789473684,0.0,0.0,0.3,0.3,0.3,0.0,0.13157894736842105,0.0,0.010526315789473684,0.042105263157894736,0.3105263157894737,0.17894736842105263,0.3105263157894737,0.5052631578947369,0.29473684210526313,0.1736842105263158,0.0,0.0,0.0,0.0,0.015789473684210527,0.3,0.21578947368421053,0.21578947368421053,0.0,0.06315789473684211,0.0,0.07368421052631578,0.3684210526315789,0.21578947368421053,0.0,0.015789473684210527,0.13157894736842105,0.2016917293233083
